ParentKey	LineNum	AddressName	Street	Block	ZipCode	City	County	Country	State	FederalTaxID	TaxCode	BuildingFloorRoom	AddressType	AddressName2	AddressName3	TypeOfAddress	StreetNo
CardCode	LineNum	Address	Street	Block	ZipCode	City	County	Country	State	LicTradNum	TaxCode	Building	AdresType	Address2	Address3	AddrType	StreetNo
F00143		COBRANÇA	R. Estrela Dálva	CIDADE INDUSTRIAL	07234040	GUARULHOS	6477	BR	SP				bo_BillTo				31
F00143		ENTREGA	R. Estrela Dálva	CIDADE INDUSTRIAL	07234040	GUARULHOS	6477	BR	SP				bo_ShipTo				31
F00144		COBRANÇA	RUA JOAO FRANCO	ITAIM BIBI	04537020	SAO PAULO	7107	BR	SP				bo_BillTo				95
F00144		ENTREGA	RUA JOAO FRANCO	ITAIM BIBI	04537020	SAO PAULO	7107	BR	SP				bo_ShipTo				95
F00145		COBRANÇA	AVENIDA DIOGENES RIBEIRO LIMA		05458900	SAO PAULO	7107	BR	SP			BLOCO 24ALTO DE PINHEIROS	bo_BillTo				2000
F00145		ENTREGA	AVENIDA DIOGENES RIBEIRO LIMA		05458900	SAO PAULO	7107	BR	SP			BLOCO 24ALTO DE PINHEIROS	bo_ShipTo				2000
F00146		COBRANÇA	AV PRESIDENTE JUSCELINO KUBITSCHEK	VILA NOVA CONCEIÇÃO	04543000	SAO PAULO	7107	BR	SP			TORRE E	bo_BillTo				2041
F00146		ENTREGA	AV PRESIDENTE JUSCELINO KUBITSCHEK	VILA NOVA CONCEIÇÃO	04543000	SAO PAULO	7107	BR	SP			TORRE E	bo_ShipTo				2041
F00148		COBRANÇA	RUA RIBEIRO LACERDA 	JARDIM  DA SAÚDE	04150000	SAO PAULO	7107	BR	SP				bo_BillTo				585
F00148		ENTREGA	RUA RIBEIRO LACERDA 	JARDIM  DA SAÚDE	04150000	SAO PAULO	7107	BR	SP				bo_ShipTo				585
F00149		COBRANÇA	QUADRA 9A	CATALÃO	75709685	GOIAS	9301	BR	GO				bo_BillTo				MODULO 26 E 30
F00149		ENTREGA	QUADRA 9A	CATALÃO	75709685	GOIAS	9301	BR	GO				bo_ShipTo				MODULO 26 E 30
F00150		COBRANÇA	RUA SIMOES PINTO	PARQUE JABAQUARA		SAO PAULO	7107	BR	SP			4356100	bo_BillTo				95
F00150		ENTREGA	RUA SIMOES PINTO	PARQUE JABAQUARA		SAO PAULO	7107	BR	SP			4356100	bo_ShipTo				95
F00151		COBRANÇA	PC EMILIO MARCONATO	JAGUARIUNA	13820000	JAGUARIUNA	7107	BR	SP			GALPÃO G22	bo_BillTo				1000
F00151		ENTREGA	PC EMILIO MARCONATO	JAGUARIUNA	13820000	JAGUARIUNA	7107	BR	SP			GALPÃO G22	bo_ShipTo				1000
F00152		COBRANÇA	RUA BORGES LAGOA	VILA CLEMENTINO	4038002	SAO PAULO	7107	BR	SP				bo_BillTo				990
F00152		ENTREGA	RUA BORGES LAGOA	VILA CLEMENTINO	4038002	SAO PAULO	7107	BR	SP				bo_ShipTo				990
F00153		COBRANÇA	R SAO PAULO	VILA BELMIRO	11075330	SAO PAULO	7107	BR	SP				bo_BillTo				31
F00153		ENTREGA	R SAO PAULO	VILA BELMIRO	11075330	SAO PAULO	7107	BR	SP				bo_ShipTo				31
F00154		COBRANÇA	NUCR INTERSECCAO ROD DF001 C/ROD	PONTE ALTA NORTE	72427010	BRASILIA	9701	BR	DF			GALPAO 02 MODULO 05 E 06,	bo_BillTo				475
