ParentKey	LineNum	AddressName	Street	Block	ZipCode	City	County	Country	State	FederalTaxID	TaxCode	BuildingFloorRoom	AddressType	AddressName2	AddressName3	TypeOfAddress	StreetNo
CardCode	LineNum	Address	Street	Block	ZipCode	City	County	Country	State	LicTradNum	TaxCode	Building	AdresType	Address2	Address3	AddrType	StreetNo
F00143		COBRANCA	R. Estrela Dálva	CIDADE INDUSTRIAL	7234040	GUARULHOS	6477	BR	SP				bo_BillTo				31
F00143		ENTREGA	R. Estrela Dálva	CIDADE INDUSTRIAL	7234040	GUARULHOS	6477	BR	SP				bo_ShipTo				31
F00144		COBRANCA	RUA JOAO FRANCO	ITAIM BIBI	4537020	SAO PAULO	7107	BR	SP				bo_BillTo				95
F00144		ENTREGA	RUA JOAO FRANCO	ITAIM BIBI	4537020	SAO PAULO	7107	BR	SP				bo_ShipTo				95
F00145		COBRANCA	AVENIDA DIOGENES RIBEIRO LIMA		5458900	SAO PAULO	7107	BR	SP			BLOCO 24ALTO DE PINHEIROS	bo_BillTo				2000
F00145		ENTREGA	AVENIDA DIOGENES RIBEIRO LIMA		5458900	SAO PAULO	7107	BR	SP			BLOCO 24ALTO DE PINHEIROS	bo_ShipTo				2000
F00146		COBRANCA	AV PRESIDENTE JUSCELINO KUBITSCHEK	VILA NOVA CONCEIÇÃO	4543000	SAO PAULO	7107	BR	SP			TORRE E	bo_BillTo				2041
F00146		ENTREGA	AV PRESIDENTE JUSCELINO KUBITSCHEK	VILA NOVA CONCEIÇÃO	4543000	SAO PAULO	7107	BR	SP			TORRE E	bo_ShipTo				2041
F00148		COBRANCA	RUA RIBEIRO LACERDA 	JARDIM  DA SAÚDE	4150000	SAO PAULO	7107	BR	SP				bo_BillTo				585
F00148		ENTREGA	RUA RIBEIRO LACERDA 	JARDIM  DA SAÚDE	4150000	SAO PAULO	7107	BR	SP				bo_ShipTo				585
F00149		COBRANCA	QUADRA 9A	CATALÃO	75709685	GOIAS	9301	BR	GO				bo_BillTo				MODULO 26 E 30
F00149		ENTREGA	QUADRA 9A	CATALÃO	75709685	GOIAS	9301	BR	GO				bo_ShipTo				MODULO 26 E 30
F00150		COBRANCA	RUA SIMOES PINTO	PARQUE JABAQUARA		SAO PAULO	7107	BR	SP			4356100	bo_BillTo				95
F00150		ENTREGA	RUA SIMOES PINTO	PARQUE JABAQUARA		SAO PAULO	7107	BR	SP			4356100	bo_ShipTo				95
F00151		COBRANCA	PC EMILIO MARCONATO	JAGUARIUNA	13820000	JAGUARIUNA	7107	BR	SP			GALPÃO G22	bo_BillTo				1000
F00151		ENTREGA	PC EMILIO MARCONATO	JAGUARIUNA	13820000	JAGUARIUNA	7107	BR	SP			GALPÃO G22	bo_ShipTo				1000
F00152		COBRANCA	RUA BORGES LAGOA	VILA CLEMENTINO	4038002	SAO PAULO	7107	BR	SP				bo_BillTo				990
F00152		ENTREGA	RUA BORGES LAGOA	VILA CLEMENTINO	4038002	SAO PAULO	7107	BR	SP				bo_ShipTo				990
F00153		COBRANCA	R SAO PAULO	VILA BELMIRO	11075330	SAO PAULO	7107	BR	SP				bo_BillTo				31
F00153		ENTREGA	R SAO PAULO	VILA BELMIRO	11075330	SAO PAULO	7107	BR	SP				bo_ShipTo				31
F00154		COBRANCA	NUCR INTERSECCAO ROD DF001 C/ROD	PONTE ALTA NORTE	72427010	BRASILIA	9701	BR	DF			GALPAO 02 MODULO 05 E 06,	bo_BillTo				475
F00154		ENTREGA	NUCR INTERSECCAO ROD DF001 C/ROD	PONTE ALTA NORTE	72427010	BRASILIA	9701	BR	DF			GALPAO 02 MODULO 05 E 06,	bo_ShipTo				475
F00155		COBRANCA	AV JORGE JOAO SAAD	VILA PROGREDOR	5618001	SAO PAULO	7107	BR	SP				bo_BillTo				522
F00155		ENTREGA	AV JORGE JOAO SAAD	VILA PROGREDOR	5618001	SAO PAULO	7107	BR	SP				bo_ShipTo				522
F00156		COBRANCA	AV JESUS VILANOVA VIDAL	SANTOS DUMONT	15020060	SAO JOSE RIO PRETO	7097	BR	SP				bo_BillTo				519
F00156		ENTREGA	AV JESUS VILANOVA VIDAL	SANTOS DUMONT	15020060	SAO JOSE RIO PRETO	7097	BR	SP				bo_ShipTo				519
F00157		COBRANCA	AV FAGUNDES FILHO	VILA MONTE ALEGRE		SAO PAULO	7107	BR	SP			CONJ 123 E 124	bo_BillTo				191
F00157		ENTREGA	AV FAGUNDES FILHO	VILA MONTE ALEGRE		SAO PAULO	7107	BR	SP			CONJ 123 E 124	bo_ShipTo				191
F00158		COBRANCA	AV GENERAL WALDOMIRO DE LIMA	JABAQUARA	4344070	SAO PAULO	7107	BR	SP				bo_BillTo				508
F00158		ENTREGA	AV GENERAL WALDOMIRO DE LIMA	JABAQUARA	4344070	SAO PAULO	7107	BR	SP				bo_ShipTo				508
F00159		COBRANCA	R BOTOCUDOS	SERRARIA	9980170	DIADEMA	6377	BR	SP				bo_BillTo				351
F00159		ENTREGA	R BOTOCUDOS	SERRARIA	9980170	DIADEMA	6377	BR	SP				bo_ShipTo				351
F00160		COBRANCA	AV INGLATERRA	TIBERY	38405050	UBERLANDIA	5403	BR	MG				bo_BillTo				40
F00160		ENTREGA	AV INGLATERRA	TIBERY	38405050	UBERLANDIA	5403	BR	MG				bo_ShipTo				40
F00161		COBRANCA	ST SIA/SUL TRECHO 03	GUARÁ	71200030	BRASILIA	9701	BR	DF			LOTE 01	bo_BillTo				1700
F00161		ENTREGA	ST SIA/SUL TRECHO 03	GUARÁ	71200030	BRASILIA	9701	BR	DF			LOTE 01	bo_ShipTo				1700
F00162		COBRANCA	RUA JOAQUIM NABUCO	BROOKLIN PAULISTA		SAO PAULO	7107	BR	SP				bo_BillTo				285
F00162		ENTREGA	RUA JOAQUIM NABUCO	BROOKLIN PAULISTA		SAO PAULO	7107	BR	SP				bo_ShipTo				285
F00163		COBRANCA	R DA REPRESA	RUDGE RAMOS	9614030	SAO BERNANRDO DO CAMPO	7075	BR	SP				bo_BillTo				65
F00163		ENTREGA	R DA REPRESA	RUDGE RAMOS	9614030	SAO BERNANRDO DO CAMPO	7075	BR	SP				bo_ShipTo				65
F00164		COBRANCA	ROD PRESIDENTE CASTELO BRANCO	JARDIM MARIA CRISTINA		BARUERI	6213	BR	SP				bo_BillTo				11350
F00164		ENTREGA	ROD PRESIDENTE CASTELO BRANCO	JARDIM MARIA CRISTINA		BARUERI	6213	BR	SP				bo_ShipTo				11350
F00165		COBRANCA	RUA DOMINGOS RODRIGUES	LAPA	5075000	SAO PAULO	7107	BR	SP				bo_BillTo				417
F00165		ENTREGA	RUA DOMINGOS RODRIGUES	LAPA	5075000	SAO PAULO	7107	BR	SP				bo_ShipTo				417
F00166		COBRANCA	RUA SÃO LAZARO	LUZ	1103020	SAO PAULO	7107	BR	SP				bo_BillTo				222
F00166		ENTREGA	RUA SÃO LAZARO	LUZ	1103020	SAO PAULO	7107	BR	SP				bo_ShipTo				222
F00167		COBRANCA	AV GUIDO ALIBERTI	JARDIM SÃO CAETANO	9581680	SAO PAULO	7107	BR	SP				bo_BillTo				3005
F00167		ENTREGA	AV GUIDO ALIBERTI	JARDIM SÃO CAETANO	9581680	SAO PAULO	7107	BR	SP				bo_ShipTo				3005
F00168		COBRANCA	RUA PIRAPITINGUI	LIBERDADE	1508020	SAO PAULO	7107	BR	SP			SALA 709	bo_BillTo				80
F00168		ENTREGA	RUA PIRAPITINGUI	LIBERDADE	1508020	SAO PAULO	7107	BR	SP			SALA 709	bo_ShipTo				80
F00169		COBRANCA	RUA XV DE NOVEMBRO	PIRAI CENRO	27175000	RIO DE JANEIRO	6001	BR	RJ			GALPÃO 02	bo_BillTo				450
F00169		ENTREGA	RUA XV DE NOVEMBRO	PIRAI CENRO	27175000	RIO DE JANEIRO	6001	BR	RJ			GALPÃO 02	bo_ShipTo				450
F00170		COBRANCA	AVENIDA PORTUGAL	ITAQUI	6696060	ITAPEVI	6551	BR	SP				bo_BillTo				1100
F00170		ENTREGA	AVENIDA PORTUGAL	ITAQUI	6696060	ITAPEVI	6551	BR	SP				bo_ShipTo				1100
F00171		COBRANCA	AL AFRICA (POLO EMPRESARIAL	SANTANA DE PARNAIBA	6543306	TAMBORE	7047	BR	SP				bo_BillTo				337
F00171		ENTREGA	AL AFRICA (POLO EMPRESARIAL	SANTANA DE PARNAIBA	6543306	TAMBORE	7047	BR	SP				bo_ShipTo				337
F00172		COBRANCA	AVENIDA PEDRO BUENO	JABAQUARA	4342011	SAO PAULO	7107	BR	SP				bo_BillTo				1461
F00172		ENTREGA	AVENIDA PEDRO BUENO	JABAQUARA	4342011	SAO PAULO	7107	BR	SP				bo_ShipTo				1461
F00173		COBRANCA	R SANTA CRUZ	VILA GUMERCINDO	4121002	SAO PAULO	7107	BR	SP				bo_BillTo				2209
F00173		ENTREGA	R SANTA CRUZ	VILA GUMERCINDO	4121002	SAO PAULO	7107	BR	SP				bo_ShipTo				2209
F00174		COBRANCA	R ATUAU	PINHEIROS	5428030	SAO PAULO	7107	BR	SP				bo_BillTo				92
F00174		ENTREGA	R ATUAU	PINHEIROS	5428030	SAO PAULO	7107	BR	SP				bo_ShipTo				92
F00175		COBRANCA	R GAMA LOBO	IPIRANGA	42690000	SAO PAULO	7107	BR	SP				bo_BillTo				1519
F00175		ENTREGA	R GAMA LOBO	IPIRANGA	42690000	SAO PAULO	7107	BR	SP				bo_ShipTo				1519
F00176		COBRANCA	R MAJ PALADINO	VILA RIBEIRA DE BARROS	53070000	SAO PAULO	7107	BR	SP				bo_BillTo				128
F00176		ENTREGA	R MAJ PALADINO	VILA RIBEIRA DE BARROS	53070000	SAO PAULO	7107	BR	SP				bo_ShipTo				128
F00177		COBRANCA	R BORGES LAGOA 	VILA CLEMENTINO	4038002	SAO PAULO	7107	BR	SP			CONJ 1102	bo_BillTo				1080
